SAMPLE_ID,LATITUDE,LONGITUDE
DCO_BKR--Aar_59E_21H2,55.004821,10.108177
DCO_BKR--Aar_59E_25H2,55.004821,10.108177
DCO_BKR--Knox_60B_10H2,56.620161,11.670677
DCO_BKR--Knox_60B_28H2,56.620161,11.670677
DCO_BKR--Knox_63E_24H2,58.622326,18.254166
DCO_BKR--Knox_63E_6H2,58.622326,18.254166
DCO_BKR--Knox_65C_7H2,55.463252,15.474324
DCO_BOM--OL_KR13_360m,61.24,21.44
DCO_BOM--OL_KR1_609m,61.24,21.44
DCO_BOM--OL_KR23_424m,61.24,21.44
DCO_BOM--OL_KR29_801m,61.24,21.44
DCO_BOM--OL_KR2_596m,61.24,21.44
DCO_BOM--OL_KR3_380m,61.24,21.44
DCO_BOM--OL_KR44_775m,61.24,21.44
DCO_BOM--OL_KR49_532m,61.24,21.44
DCO_BOM--OL_KR5_457m,61.24,21.44
DCO_BOM--OL_KR6_422m,61.24,21.44
DCO_BOM--OL_KR9_468m,61.24,21.44
DCO_BOM--OL_KR9_564m,61.24,21.44
DCO_BRA--IODP_331_Site_C14B_1_1,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_1_2,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_1_3,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_1_4,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_2_10,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_2_3,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14D_1_1,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_1_3,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_1_4,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_2_1,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_2_2,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_2_3,27.79026,126.900677
DCO_BRG--Site17A_178mbsf,11.2811,93.1
DCO_BRG--Site17A_21mbsf,11.2811,93.1
DCO_BRG--Site17A_226mbsf,11.2811,93.1
DCO_BRG--Site17A_264mbsf,11.2811,93.1
DCO_BRG--Site17A_322mbsf,11.2811,93.1
DCO_BRG--Site17A_322mbsf_MDA,11.2811,93.1
DCO_BRG--Site17A_40mbsf,11.2811,93.1
DCO_BRG--Site17A_419mbsf,11.2811,93.1
DCO_BRG--Site17A_447mbsf,11.2811,93.1
DCO_BRG--Site17A_456mbsf,11.2811,93.1
DCO_BRG--Site17A_554mbsf,11.2811,93.1
DCO_BRG--Site17A_588mbsf,11.2811,93.1
DCO_BRG--Site17A_589mbsf,11.2811,93.1
DCO_BRG--Site17A_684mbsf,11.2811,93.1
DCO_BRZ--CRO_CSW1_1A_Aug13,38.862,-122.414
DCO_BRZ--CRO_CSW1_1A_Jul14,38.862,-122.414
DCO_BRZ--CRO_CSW1_1B_Aug13,38.862,-122.414
DCO_BRZ--CRO_CSW1_1B_Jul14,38.862,-122.414
DCO_BRZ--CRO_CSW1_1C_Aug13,38.862,-122.414
DCO_BRZ--CRO_CSW1_1C_Jul14,38.862,-122.414
DCO_BRZ--CRO_CSW1_3A_Aug13,38.862,-122.41402
DCO_BRZ--CRO_CSW1_3A_Jul14,38.862,-122.41402
DCO_BRZ--CRO_CSW1_3B_Aug13,38.862,-122.41402
DCO_BRZ--CRO_CSW1_3B_Jul14,38.862,-122.41402
DCO_BRZ--CRO_CSW1_3C_Aug13,38.862,-122.41402
DCO_BRZ--CRO_QV1_1A_Aug13,38.862,-122.43006
DCO_BRZ--CRO_QV1_1A_Jul14,38.862,-122.43006
DCO_BRZ--CRO_QV1_1B_Aug13,38.862,-122.43006
DCO_BRZ--CRO_QV1_1B_Jul14,38.862,-122.43006
DCO_BRZ--CRO_QV1_1C_Aug13,38.862,-122.43006
DCO_BRZ--CRO_QV1_1C_Jul14,38.862,-122.43006
DCO_BRZ--CRO_QV1_2A_Aug13,38.86202,-122.43006
DCO_BRZ--CRO_QV1_2A_Jul14,38.86202,-122.43006
